max_iterations,accuracy,ssim
0,100,1
1,80.0,0.82409874473075
1,81.0,0.8464014126213539
1,78.0,0.8646501285978104
1,82.0,0.873516749006819
1,78.0,0.8780852925811446
2,78.0,0.8486625029288083
2,82.0,0.8939891300396706
2,81.0,0.8859094378929532
2,81.0,0.9076846879695368
2,80.0,0.8441606544792591
3,77.0,0.8666649677324031
3,81.0,0.8450086825288551
3,80.0,0.853994623039417
3,83.0,0.8233255109543685
3,83.0,0.8503785637850563
5,74.0,0.8837919461136821
5,79.0,0.8645844935733324
5,79.0,0.88820762135288
5,79.0,0.8667258924478709
5,76.0,0.8299063254234671
10,77.0,0.8449897387986123
10,77.0,0.8993752584287975
10,86.0,0.8471818868805251
10,78.0,0.8907168248986317
10,80.0,0.8463686289834877
15,77.0,0.8515681481699151
15,80.0,0.889618114761397
15,75.0,0.8312221983236915
15,80.0,0.899813347104956
15,77.0,0.8241468926424143
20,80.0,0.854237701206741
20,78.0,0.863954664860955
20,77.0,0.849100688260059
20,80.0,0.8653122127328144
20,79.0,0.8553471748329488
25,83.0,0.8476641297608822
25,82.0,0.8695355012830301
25,82.0,0.8711198519596822
25,74.0,0.849172683671871
25,77.0,0.8712032656715492
50,73.0,0.912392228884318
50,72.0,0.8831463443157286
50,74.0,0.8663404870273024
50,77.0,0.8878273648046964
50,67.0,0.8638268905494781
100,69.0,0.872852567556748
100,69.0,0.8661913359446286
100,70.0,0.8758962117078571
100,69.0,0.9029349450307101
100,71.0,0.8641061591302857
