max_iterations,accuracy,ssim
1,79.0,0.7680540118178951
1,80.0,0.7476118354249668
1,75.0,0.7656515719880551
1,77.0,0.7632946759982245
1,80.0,0.7240757178901052
2,76.0,0.7254592432603999
2,80.0,0.7223872126693476
2,79.0,0.7517851718984225
2,82.0,0.6900206071943945
2,81.0,0.7154177655426636
3,76.0,0.7372569292531884
3,83.0,0.708270724865901
3,78.0,0.7621685719439395
3,76.0,0.710966796006895
3,79.0,0.7567091308792491
5,77.0,0.7284884125509298
5,78.0,0.7431061349041593
5,73.0,0.7452148350140152
5,79.0,0.7284129058025688
5,82.0,0.7161105040515349
10,79.0,0.737235839177727
10,74.0,0.7091101770713071
10,75.0,0.7268740549909587
10,79.0,0.7258146219920008
10,80.0,0.7367096285701675
15,76.0,0.763867013942296
15,74.0,0.7136195884334738
15,76.0,0.7473101734787992
15,79.0,0.7459951878465334
15,71.0,0.7000113984933647
20,73.0,0.7399078099157504
20,76.0,0.7688921118639171
20,74.0,0.7524366273810931
20,80.0,0.7527637040264913
20,77.0,0.7208930968840679
25,77.0,0.7318526619391675
25,71.0,0.7387758055118063
25,75.0,0.7344971539073359
25,78.0,0.7806249849228983
25,72.0,0.7427411426893058
50,71.0,0.7558752196803609
50,75.0,0.7271066033737869
50,76.0,0.725616923062067
50,73.0,0.7529294333313177
50,71.0,0.7615088313128575
100,73.0,0.7463226029861793
100,70.0,0.74818204725592
100,64.0,0.7425905470026273
100,75.0,0.7629525388293149
100,74.0,0.7566274933247216
