max_iterations,accuracy,ssim
1,41.0,0.9525507989644861
1,45.0,0.9790668376795866
1,40.0,0.9521077315118145
1,45.0,0.9272607329288922
1,53.0,0.9551315956829308
2,54.0,0.913307600315638
2,53.0,0.9768990123017807
2,44.0,0.9794786960496801
2,45.0,0.9549724951824373
2,45.0,0.92191244098077
3,50.0,0.93062102836065
3,47.0,0.9824682627832086
3,48.0,0.9465008280803836
3,51.0,1.0
3,52.0,0.8438127948506311
5,46.0,0.9107365876819733
5,44.0,0.9364463733650161
5,51.0,0.9554607758741709
5,54.0,0.9753500808855968
5,46.0,0.9948518484856782
10,48.0,0.972162955748478
10,52.0,0.9787875070468844
10,51.0,0.9057047758256435
10,45.0,0.9630400945591872
10,53.0,0.9358344034414842
15,49.0,0.9952815422958607
15,47.0,0.9644593860207419
15,40.0,0.9985013037348874
15,43.0,0.8949430426431494
15,56.0,0.9244866524222728
20,46.0,0.9717028422033449
20,41.0,0.9032558275546553
20,46.0,0.9130520175538084
20,47.0,0.9322503209309796
20,39.0,0.9714298497817635
25,47.0,0.9707051521221283
25,48.0,0.9691152113447392
25,48.0,0.9254224772888762
25,39.0,0.971185730286187
25,45.0,0.9411076964777276
50,46.0,0.9233918387175135
50,47.0,0.9657922707597434
50,49.0,0.973236720260138
50,53.0,0.9613554174537475
50,36.0,0.9501308337737939
100,52.0,0.9913501071614388
100,41.0,0.9893328662940292
100,43.0,0.9524111134171994
100,45.0,0.9273523209078338
100,45.0,0.9875085028104014
